id_biblioteca,nombre_biblioteca,id_departamento,nombre_departamento,nombre_provincia,dominio_email,año_fundacion
938,Comité Cultural y Biblioteca Juan Francisco Ibarra,6854,25 De Mayo,Buenos Aires,,1922.0
200,Bib.Pop. Anastasio Prieto,6588,9 De Julio,Buenos Aires,,1980.0
1850,Bib.Pop. José Ingenieros,6588,9 De Julio,Buenos Aires,,1933.0
88,Bib.Pop. Adolfo Alsina,6007,Adolfo Alsina,Buenos Aires,,1912.0
1278,Bib.Pop. José Ingenieros,6007,Adolfo Alsina,Buenos Aires,hotmail,1925.0
1062,Bib.Pub. Bernardino Rivadavia,6014,Adolfo Gonzalez Chaves,Buenos Aires,yahoo,1925.0
2170,Bib.Pop. Dr. Victor H. Barrera,6014,Adolfo Gonzalez Chaves,Buenos Aires,hotmail,1942.0
1554,Bib.Pop. Andrés Vaccarezza,6021,Alberti,Buenos Aires,hotmail,1925.0
90,Amigos de la Biblioteca Esteban Adrogué,6028,Almte Brown,Buenos Aires,,1918.0
4001,Bib. Pop. La Margarita blanca,6028,Almte Brown,Buenos Aires,,1999.0
3792,Bib.Pop. Mahatma Gandhi,6028,Almte Brown,Buenos Aires,tutopia,1980.0
2870,Bib.Pop. Pablo Rojas Paz,6028,Almte Brown,Buenos Aires,gmail,1969.0
3952,Bib.Pop. Manuel Belgrano del Barrio de Villa París,6028,Almte Brown,Buenos Aires,yahoo,1998.0
4260,Bib.Pop. Fray Luis Beltrán,6028,Almte Brown,Buenos Aires,yahoo,2007.0
2982,Bib.Pop.Soc.Fom. Martín Fierro,6028,Almte Brown,Buenos Aires,yahoo,1956.0
3841,Bib. Pop. Atahualpa Yupanqui,6028,Almte Brown,Buenos Aires,gmail,1999.0
3950,Bib.Pop. Gabriela Mistral,6427,Almte Brown,Buenos Aires,,1980.0
2296,Bib.Pop. Bartolomé Mitre,6035,Avellaneda,Buenos Aires,yahoo,1932.0
2543,Bib.Pop. José Mármol,6035,Avellaneda,Buenos Aires,yahoo,1940.0
3063,Bib.Pop. Dr. Estanislao S. Zeballos,6035,Avellaneda,Buenos Aires,gmail,2001.0
3561,Bib.Pop. Alfredo Palacios,6035,Avellaneda,Buenos Aires,yahoo,1996.0
3824,Bib.Pub.Mun.Pop. de Avellaneda,6035,Avellaneda,Buenos Aires,hotmail,1919.0
4136,Bib.Pop. Maestro Alfredo Bravo,6035,Avellaneda,Buenos Aires,yahoo,1980.0
3908,Bib.Pop. Dock Sud,6035,Avellaneda,Buenos Aires,gmail,1998.0
252,Bib.Pop. Juan Bautista Alberdi,6035,Avellaneda,Buenos Aires,hotmail,1918.0
4086,Bib.Pop. Enrique del Valle Iberlucea,6035,Avellaneda,Buenos Aires,,2002.0
217,Bib.Pop. Veladas de estudio después del trabajo,6035,Avellaneda,Buenos Aires,,1921.0
3719,Bib.Pop. Presidente Avellaneda,6035,Avellaneda,Buenos Aires,yahoo,1987.0
4192,Soc. Fom. y Cul. y Bib.Pop. Domingo Faustino Sarmiento,6035,Avellaneda,Buenos Aires,yahoo,1980.0
3051,Soc.Fom. U. de Dom. y Bib.Pop. Nicolás Avellaneda,6035,Avellaneda,Buenos Aires,yahoo,1985.0
911,Bib.Pop. Juan M. de Pueyrredón,6035,Avellaneda,Buenos Aires,,1922.0
4265,Bib. Pop. Oscar Smith,6035,Avellaneda,Buenos Aires,yahoo,2008.0
3193,Bib.Pub.Mun. Manuel Vilardaga,6042,Ayacucho,Buenos Aires,,
83,Bib.Pop. Bartolomé J. Ronco,6049,Azul,Buenos Aires,bibliotecaronco,
111,Bib.Pop. Almafuerte,6049,Azul,Buenos Aires,,1918.0
2068,Bib.Pop. Asoc.Cult. de Chillar,6049,Azul,Buenos Aires,yahoo,1939.0
100,Bib.Pop. Bernardino Rivadavia,6056,Bahia Blanca,Buenos Aires,abrbp,
1663,Bib.Pop. Bartolomé Mitre,6056,Bahia Blanca,Buenos Aires,yahoo,1922.0
2790,Bib.Pop. Roberto Payro,6056,Bahia Blanca,Buenos Aires,,1960.0
3392,Bib.Pop. Pajarita de papel,6056,Bahia Blanca,Buenos Aires,,1980.0
3587,Bib.Pop. Eduardo Mallea,6056,Bahia Blanca,Buenos Aires,yahoo,1980.0
3795,Bib.Pop. Don Germán García,6056,Bahia Blanca,Buenos Aires,yahoo,1996.0
3929,Bib.Pop. Rosario Sur,6056,Bahia Blanca,Buenos Aires,yahoo,2000.0
4022,Bib. Pop. Gabriela Mistral,6056,Bahia Blanca,Buenos Aires,yahoo,1996.0
4137,Bib.Pop. Simón Rodriguez,6056,Bahia Blanca,Buenos Aires,gmail,1980.0
4155,Bib. Pop. Villa Duprat,6056,Bahia Blanca,Buenos Aires,gmail,1980.0
4256,BIb. Pop. Martín Allica,6056,Bahia Blanca,Buenos Aires,yahoo,2006.0
2871,Bib.Pop. Mariano Moreno,6056,Bahia Blanca,Buenos Aires,,1963.0
2841,Asoc. José Hernández,6056,Bahia Blanca,Buenos Aires,,1966.0
1465,Bib.Pop. Mariano Moreno,6056,Bahia Blanca,Buenos Aires,gmail,1925.0
3132,Bib.Pop. Ing. Domingo Pronsato,6056,Bahia Blanca,Buenos Aires,yahoo,1989.0
1021,Bib.Pub. Pablo A. Pizzurno,6063,Balcarce,Buenos Aires,yahoo,1923.0
1469,Bib.Pop.Mun. Fray Luis de Bolaños,6070,Baradero,Buenos Aires,,
2159,Bib.Pop. José Manuel Estrada,6070,Baradero,Buenos Aires,,1919.0
3718,Bib.Pop. Mario Bravo,6070,Baradero,Buenos Aires,,1980.0
2688,Bib.Pop.Mun. Teniente Gral. Bme. Mitre,6077,Bartolome Mitre,Buenos Aires,yahoo,1939.0
2723,Bib.Pop. Juan J. Bernal Torres,6084,Benito Juarez,Buenos Aires,gmail,1946.0
1280,Bib.Pop. Manuel Belgrano,6091,Berazategui,Buenos Aires,hotmail,1924.0
3046,Bib.Pop. Padre Carlos Mugica,6091,Berazategui,Buenos Aires,hotmail,1986.0
4075,Bib.Pop. Juan María Gutierrez,6091,Berazategui,Buenos Aires,hotmail,2002.0
3033,Bib.Pop. José Ingenieros,6091,Berazategui,Buenos Aires,yahoo,1984.0
4169,Bib.Pop. y Cent. Victoria Ocampo,6091,Berazategui,Buenos Aires,yahoo,1980.0
1864,Bib.Pop. Pestalozzi,6098,Berisso,Buenos Aires,gmail,1935.0
2082,Bib. Pop. Mariano Moreno,6098,Berisso,Buenos Aires,,1944.0
2473,Bib.Pop. Ricardo Güiraldes,6098,Berisso,Buenos Aires,yahoo,1949.0
2490,Bib.Pop. Almafuerte,6098,Berisso,Buenos Aires,,1943.0
2492,Bib.Pop. Mariano Moreno,6098,Berisso,Buenos Aires,,1980.0
3692,Bib.Pop. Presbítero Pascual Ruberto,6098,Berisso,Buenos Aires,hotmail,1995.0
2318,Bib.Pop. Belisario Roldán,6098,Berisso,Buenos Aires,,1947.0
93,Bib.Pop. Bernardino Rivadavia,6105,Bolivar,Buenos Aires,yahoo,1911.0
1478,Bib.Pop. D.F.Sarmiento,6105,Bolivar,Buenos Aires,yahoo,1926.0
3801,Bib.Pop. María Alcira Cabrera,6105,Bolivar,Buenos Aires,,1972.0
1769,Bib.Pop. D.F.Sarmiento,6105,Bolivar,Buenos Aires,yahoo,1933.0
2191,Bib.Pop. Manuel Belgrano,6112,Bragado,Buenos Aires,yahoo,1943.0
3749,Bib.Pop. Florencio López,6112,Bragado,Buenos Aires,,1997.0
1857,Bib.Pop. Bernardino Rivadavia,6112,Bragado,Buenos Aires,,1926.0
2135,Bib.Pop. José Ingenieros,6021,Bragado,Buenos Aires,live,1940.0
4142,Bib.Pop. José Ignacio Warnes,6112,Bragado,Buenos Aires,yahoo,1980.0
1676,Bib.Pop. José de San Martín,6119,Brandsen,Buenos Aires,,1932.0
4166,Bib.Pop. Dr. Frutos Enrique Ortiz,6119,Brandsen,Buenos Aires,hotmail,1980.0
4024,Bib.Pop. Jeppener,6119,Brandsen,Buenos Aires,,2002.0
3468,Bib. Pop. Pilar A. de Traverso,6126,Campana,Buenos Aires,yahoo,1992.0
1266,Bib.Pop. D.F.Sarmiento,6134,Cañuelas,Buenos Aires,hotmail,1927.0
3900,Bib.Pop. Barrio San Esteban,6134,Cañuelas,Buenos Aires,yahoo,1980.0
1002,Bib.Pop. Almafuerte,6140,Cap Sarmiento,Buenos Aires,hotmail,1923.0
2861,Bib.Pop. José Ingenieros,6147,Carlos Casares,Buenos Aires,gmail,1963.0
4289,Bib.Pop. El Libro Alegre,6147,Carlos Casares,Buenos Aires,hotmail,2009.0
3045,Bib.Pop.Esc. Dr. Enrique Smith,6147,Carlos Casares,Buenos Aires,,1984.0
268,Bib.Pop. Roque Saénz Peña,6154,Carlos Tejedor,Buenos Aires,yahoo,1916.0
258,Bib.Pop. Bernardino Rivadavia,6154,Carlos Tejedor,Buenos Aires,servicoopsa,1920.0
270,Bib.Pop. Juan Bautista Alberdi,6161,Carmen De Areco,Buenos Aires,yahoo,1914.0
2264,Bib.Pop. Juan José Castelli,6168,Castelli,Buenos Aires,yahoo,1940.0
1381,Bib.Pop. D.F.Sarmiento,6210,Chacabuco,Buenos Aires,,1907.0
222,Bib.Pop. Guillermo Rawson,6210,Chacabuco,Buenos Aires,,1920.0
113,Bib.Pop. D.F.Sarmiento,6217,Chascomus,Buenos Aires,yahoo,
3038,Bib.Pop.Soc.Fom. Nuestra Señora de Luján,6217,Chascomus,Buenos Aires,hotmail,1982.0
3189,Bib.Pub. San José Obrero,6217,Chascomus,Buenos Aires,yahoo,1986.0
3631,Bib.Pop. Ambulante y Rural de Chascomus,6217,Chascomus,Buenos Aires,hotmail,1994.0
3890,Bib.Pop. del Ipora Padre Luis Sánchez,6217,Chascomus,Buenos Aires,yahoo,1997.0
105,Bib.Pop. Dr. Antonio Novaro,6224,Chivilcoy,Buenos Aires,hotmail,
3571,Bib.Pop. Esc. Ing. Luis Luiggi,6182,Cnel De Marina L Rosales,Buenos Aires,,1994.0
4334,Bib.Pop. Puntaltense Mercedes de San Martín,6182,Cnel De Marina L Rosales,Buenos Aires,gmail,2002.0
1312,Bib.Pop. Coronel Dorrego,6189,Cnel Dorrego,Buenos Aires,,1928.0
3483,Bib.Pop. de José A. Guisasola,6189,Cnel Dorrego,Buenos Aires,gmail,1982.0
1347,Bib.Pop. Florentino Ameghino,6189,Cnel Dorrego,Buenos Aires,altisa,1928.0
2225,Bib.Pop. Pringles,6196,Cnel Pringles,Buenos Aires,,1932.0
101,Bib.Pop. D.F.Sarmiento,6203,Cnel Suarez,Buenos Aires,yahoo,1915.0
3591,Bib.  Infantil de Coronel Suarez,6203,Cnel Suarez,Buenos Aires,gmail,1991.0
3894,Asoc.Bib.Pop.Púb.Esc. Dr. Baldomero Fernández Moreno,6203,Cnel Suarez,Buenos Aires,gmail,1969.0
1883,Bib.Pop. Mariano Moreno,6175,Colon,Buenos Aires,,1920.0
1770,Bib.Pop. Juan Bautista Alberdi,6182,Coronel Rosales,Buenos Aires,gmail,1933.0
3364,Bib.Pop. Dr. Ricardo Gutierrez,6182,Coronel Rosales,Buenos Aires,hotmail,1980.0
118,Bib.Pop. Gral. San Martín,6238,Dolores,Buenos Aires,,1945.0
167,Bib.Pop. Mariano Moreno,6245,Ensenada,Buenos Aires,,1917.0
1620,Bib.Pop. Gral. José de San Martín,6245,Ensenada,Buenos Aires,,1932.0
2151,Bib.Pop.Pub. Bartolomé Mitre,6245,Ensenada,Buenos Aires,,1924.0
3647,Bib.Pub.Pop.Mun. B. Fernández Moreno,6245,Ensenada,Buenos Aires,,1957.0
4065,Bib.Pop. Osvaldo H. Merlo,6245,Ensenada,Buenos Aires,yahoo,1980.0
1673,Bib.Pop. Bernardino Rivadavia,6252,Escobar,Buenos Aires,gmail,1932.0
861,Bib.Pop. Juan Bautista Alberdi,6252,Escobar,Buenos Aires,yahoo,1929.0
2843,Bib.Pop. Florentino Ameghino,6260,Esteban Echeverria,Buenos Aires,gmail,1964.0
1733,Bib.Pop. Bernardino Rivadavia,6260,Esteban Echeverria,Buenos Aires,,1932.0
