id_departamento,nivel_inicial_maternal,nivel_inicial_infante,nivel_primario,nivel_secundario,nivel_terciario,nivel_universitario,nivel_posgrado
02007,4170,4010,18572,16424,7155,21847,4205.0
02021,3055,3264,14639,13393,7006,19498,3376.0
02028,4811,4936,24584,21643,7179,13548,2036.0
02035,3008,3069,13510,11995,6788,18073,4069.0
02042,3447,3279,14085,11795,6287,17657,4808.0
02049,3610,3968,18071,16231,6840,16068,3016.0
02056,4726,4995,26511,24046,6468,8837,962.0
02063,2759,3109,15331,14452,5051,10467,1509.0
02070,2719,3112,13878,12641,5320,12060,2036.0
02077,3424,3396,15415,13815,6176,15718,3132.0
02084,4567,4307,17599,14689,6904,18161,4507.0
02091,4670,4250,17967,15388,6149,23686,6417.0
02098,4166,3582,14780,12001,6084,27848,7338.0
02105,3551,3363,14715,12773,6372,15931,3941.0
06007,399,459,1672,1652,245,347,62.0
06014,354,297,1287,1420,354,279,51.0
06021,293,305,1233,1404,272,350,61.0
06028,8526,14412,65320,71387,14913,28288,2304.0
06035,6844,7904,35621,40430,9432,20600,2230.0
06042,585,609,2264,2624,653,367,58.0
06049,1760,1854,7621,8449,2153,1873,430.0
06056,6303,7614,31128,33208,9716,22024,2525.0
06063,1221,1155,4916,4992,1353,1580,193.0
06070,940,1092,4060,4706,1164,1171,158.0
06077,815,882,3323,3709,610,714,83.0
06084,569,565,2133,2448,464,465,93.0
06091,5572,8934,38912,43852,8051,21293,1624.0
06098,2266,2534,10945,12327,2718,6472,489.0
06105,1025,956,3678,3761,870,718,138.0
06112,1046,1166,4463,5105,1304,1050,170.0
06119,750,835,3708,4107,981,1224,168.0
06126,2063,2771,11663,13746,3018,4122,519.0
06134,1336,2108,9060,9176,1215,2192,249.0
06140,396,385,1647,1741,411,471,65.0
06147,664,585,2410,2580,614,345,64.0
06154,431,414,1472,1401,350,269,134.0
06161,543,466,1886,2072,470,495,68.0
06168,254,250,964,1043,291,253,33.0
06175,616,640,2708,3121,638,620,111.0
06182,1201,1620,6655,7649,2914,2863,369.0
06189,416,349,1467,1675,284,274,50.0
06196,640,646,2605,2590,602,435,97.0
06203,950,980,4018,4050,1156,845,150.0
06210,1065,1173,4940,5457,1338,1431,196.0
06218,946,1147,4533,5030,1065,1305,230.0
06224,1632,1682,6701,7625,1628,2469,341.0
06231,516,492,1839,2057,363,432,105.0
06238,808,798,3170,3535,1050,948,153.0
06245,1432,1734,7173,8550,1760,3474,316.0
06252,4386,6885,30229,31739,6183,9710,1391.0
06260,4624,8506,39268,41792,7208,16096,1304.0
06266,949,1116,4570,4896,952,1414,233.0
06270,3038,5646,24429,25844,4191,7986,705.0
06274,6660,13161,62421,64009,9997,22446,1474.0
06277,287,258,1142,1321,281,260,66.0
06280,935,1106,4486,5036,1448,1174,145.0
06287,324,247,1055,1195,259,197,24.0
06294,438,390,1498,1600,353,435,82.0
06301,561,535,2107,2322,488,601,88.0
06308,73,89,310,367,98,53,10.0
06315,497,542,2429,2927,652,514,67.0
06322,332,270,1196,1188,365,240,41.0
06329,412,535,1899,2197,577,676,87.0
06336,115,166,586,706,118,101,18.0
06343,313,399,1637,1644,372,342,44.0
06351,405,370,1195,1304,352,237,58.0
06357,11087,13804,58661,68367,17984,35915,4177.0
06364,2927,4563,19908,19129,2989,4711,524.0
06371,7622,9467,43097,47726,11037,21135,2541.0
06385,628,563,2244,2263,746,580,135.0
06392,883,909,3733,3957,717,727,155.0
06399,315,293,1139,1173,255,322,41.0
06406,311,279,1034,1123,310,219,54.0
06408,2928,4030,17741,20642,3839,12499,1008.0
06410,2756,3831,16224,19104,4400,10885,1113.0
06412,4408,9105,41234,40767,6011,14878,1175.0
06413,2600,2485,9586,10192,2881,3918,816.0
06420,1740,2508,10673,12681,2624,2694,510.0
06427,32293,48389,216668,214636,42629,58055,6971.0
06434,7197,9618,42875,48335,11855,24586,2714.0
06441,15521,17266,71669,77490,16690,78108,8238.0
06448,317,333,1251,1362,261,202,32.0
06455,659,649,2564,3029,617,576,105.0
06462,495,414,1773,1987,478,362,56.0
06466,172,167,599,739,208,181,11.0
06469,1257,1115,4305,4702,1240,877,181.0
06476,468,416,1744,1993,484,434,53.0
06483,1114,1140,4283,4676,961,1136,188.0
06490,12189,16416,75308,79335,16402,32665,3793.0
06497,2499,2807,11503,12032,2910,5284,727.0
06505,545,610,2623,3077,618,856,127.0
06511,306,300,1179,1257,322,294,37.0
06515,4487,8381,38493,42051,6806,17435,1329.0
06518,733,891,3273,3778,994,1017,198.0
06525,1213,1976,8016,8661,1743,2298,221.0
06532,1911,1850,7302,7950,2046,2758,448.0
06539,8471,15451,69338,72869,14603,21726,2091.0
06547,500,678,2757,2892,688,621,100.0
06553,219,200,892,949,127,215,36.0
06560,9083,15735,74898,73078,13500,22464,1950.0
06568,5297,6478,26400,31560,8731,20872,2752.0
06574,451,464,2187,2339,402,547,48.0
06581,2217,2318,9851,11315,2899,2379,458.0
06588,1238,1416,5364,5934,1307,982,191.0
